"id","trilha que pertence","nome do curso","horas de curso","linguagem","framework que aprende","descrição do curso","quais habilidades receberei ao final do curso","projetos a serem entregues","avaliação do curso interna","quais projetos são desenvolvidos","pre requisitos","comentario seu sobre o curso"
"47","Aprendendo Python","Lendo e Escrevendo Arquivos","3h 32min","Python","não encontrado","Aprenda tudo sobre leitura e escrita eficiente dos mais diferentes tipos de arquivos: texto, planilhas, JSON, XML e muito outros.","Manipular arquivos de forma eficaz | Utilizar a biblioteca pathlib para criação de caminhos | Copiar, mover e excluir arquivos e pastas com facilidade | Trabalhar com diversos tipos de arquivo como texto, planilhas, JSON, pickle e XML","não encontrado","4.7","O que vamos aprender neste curso | Arquivos e Caminho de Arquivos | Construindo caminhos com pathlib | Caminhos Absolutos e Caminhos Relativos | Manipulando Caminhos de Arquivos | Retornando Conteúdos de uma Pasta | EXERCÍCIO – Encontrando arquivo | DESAFIO – Tamanho de uma pasta | Quiz – Arquivos e caminhos | Copiando, Movendo e Deletando Arquivos | Copiando, Movendo e Deletando Pastas | Compactando e Descompactando Pastas | DESAFIO – Organizando Arquivos por extensão | Quiz – Copiando e movendo arquivos | Lendo e Escrevendo Arquivos de Texto | DESAFIO – Modificando arquivo html | Lendo e Escrevendo Planilhas | DESAFIO – Separando e Consolidando Planilhas | Lendo e Escrevendo Json | Lendo e Escrevendo Arquivos Pickle | Lendo e Escrevendo Arquivos XML | Quiz – Lendo diferentes tipos de arquivo | Finalização | Teste final – Lendo e Escrevendo Arquivos","Recomendado concluir módulos anteriores da trilha 'Aprendendo Python' ou ter base em Python","Curso intermediário, bom para aprofundar e complementar trilha."
"48","Python Office: Automações com Python","Execução Automatizada de Programas","28min","Python","não encontrado","Domine a execução automatizada de programas: crie scripts eficientes e agende tarefas!","Iniciantes que desejam aprender sobre automação | Entusiastas de tecnologia interessados em simplificar tarefas | Profissionais de TI e desenvolvedores | Administradores de sistemas","não encontrado","4.8","Apresentação | Criando o script de organização | Agendamento no Mac e Linux – Crontab | Agendamento no Windows | Quiz – Agendamento de tarefas","Recomendado concluir módulos anteriores da trilha 'Python Office: Automações com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"49","Visão Computacional com Python","Edição Automatizada de Imagens","1h 9min","Python","não encontrado","Aprenda a manipular imagens automaticamente com Python.","Introdução à biblioteca Pillow e instalação | Abertura, visualização e obtenção de informações de imagens | Ajuste de tamanho, corte e salvamento de imagens | Rotação e transposição de imagens | Separação e união de canais de imagem | Colagem estratégica de imagens | Compressão de imagens | Manipulação de imagens em preto e branco | Inserção de marcas d'água em imagens","Apresentação do módulo | Métodos básicos do Pillow | RGB e mescla de imagens | Apresentação dos projetos | Quiz 1 – Edição automatizada de imagens | Projeto 1 – Comprimindo imagens | Projeto 2 – Imagens em preto e branco | Projeto 3 – Marca d’água automática | Teste Final","4.8","Apresentação do módulo | Métodos básicos do Pillow | RGB e mescla de imagens | Apresentação dos projetos | Quiz 1 – Edição automatizada de imagens | Projeto 1 – Comprimindo imagens | Projeto 2 – Imagens em preto e branco | Projeto 3 – Marca d’água automática | Teste Final","Recomendado concluir módulos anteriores da trilha 'Visão Computacional com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"50","Análise de Dados com Python","Analisando Dados com Pandas & SQL","5h 12min","Python","Pandas, Excel","Domine Pandas, a principal biblioteca de análise de dados em Python, e aprenda a utilizá-la com um banco de dados SQL.","Uso da biblioteca Pandas | DataFrames de Pandas e manipulação de colunas | Uso de filtros e localização de valores | Operações com índices e índices multiníveis | Agrupamento e união de DataFrames | Como criar e trabalhar com um banco de dados SQL | Comandos em SQL: create, drop, insert, select, update e delete | Projetos práticos de análise de dados","não encontrado","4.8","Apresentação do Curso | O que são SQL e Pandas | SQL x Pandas | Quando usar cada um | Como tirar suas dúvidas? | O que é o Pandas e do que ele é capaz | Como estudar Pandas? | Como vão se dar as aulas? | Series | DataFrames e manipulação de colunas | Quiz – Conceitos Básicos de Pandas | Iloc e Filtros | Operações com índices | Índices multiníveis | Tratamento de dados ausentes | Groupby | Quiz – Índices, filtros e groupby | Merge, concat e join | Operações com DataFrames | Séries temporais no Pandas | Entrada e saída de dados | Encerramento | Quiz – Lendo e combinando tabelas | Inserindo dados em uma BD | Comandos CREATE e DROP | INSERT | SELECT, FROM e WHERE | UPDATE e DELETE | Quiz – Interagindo com bancos SQL com Pandas | Apresentação dos exercícios","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Curso muito popular e bem avaliado, aposta segura."
"51","Integrando Python e Excel","Automatizando Excel","57min","Python","Pandas, Excel, RAG","Aprenda a manipular planilhas Excel e todas as suas funcionalidades — abas, fórmulas e gráficos — automaticamente com Python e openpyxl!","Uso da biblioteca openpyxl | Abrir e manipular um arquivo Excel diretamente do Python | Criação e edição de fórmulas via Python, diretamente na planilha | Estilização e formatação da planilha | Criação de gráficos no Excel através de Python","não encontrado","4.7","Instalando o Openpyxl | Conceitos básicos | Fórmulas | Estilização | Gráfico de linhas | Gráfico de barras | Quiz 1 – Automatizando Excel | Teste Final – Automatizando Excel","Recomendado concluir módulos anteriores da trilha 'Integrando Python e Excel' ou ter base em Python","Curso intermediário, bom para aprofundar e complementar trilha."
"52","Python Office: Automações com Python","Web Scraping – Extraindo Dados da Web","4h 47min","Python","não encontrado","Extraia dados da internet automaticamente com o domínio da técnica de Web Scraping com Python!","Introdução ao Web Scraping | Navegadores web e lógica de scraping | Introdução a HTML | Introdução ao BeautifulSoup | Projeto: Extraindo dados do site do IBGE | Projeto: Asimov News – Extraindo notícias em tempo real da internet | Projeto: Extraindo e analisando dados do Brasileirão","Introdução | Browser e Extração | Lógica de Web Scraping | Bibliotecas | Como tirar suas dúvidas? | Tags | Classes e Ids | Exercitando a lógica de Web Scraping | Overview do BeautifulSoup | Analisando a documentação do BeautifulSoup | Aplicação dos conceitos | Extraindo dados do IBGE | Apresentação do projeto – Asimov News | A arquitetura do Asimov News | Web Scraping do globo.com | Imports e estrutura básica | Atributos básicos da classe | Thread de atualização de notícias | Construindo a tela principal | Lógica de adição e exclusão de sites | Montando o display_news | Apresentação do projeto Análises Esportivas | Processo de criação do projeto | Limitações da biblioteca Requests | Uso da biblioteca Selenium | Utilizando a API do Sofascore | Utilizando a API do Sofascore – Parte 2 | Construindo o DataFrame | Construindo o Gráfico","4.8","Introdução | Browser e Extração | Lógica de Web Scraping | Bibliotecas | Como tirar suas dúvidas? | Tags | Classes e Ids | Exercitando a lógica de Web Scraping | Overview do BeautifulSoup | Analisando a documentação do BeautifulSoup | Aplicação dos conceitos | Extraindo dados do IBGE | Apresentação do projeto – Asimov News | A arquitetura do Asimov News | Web Scraping do globo.com | Imports e estrutura básica | Atributos básicos da classe | Thread de atualização de notícias | Construindo a tela principal | Lógica de adição e exclusão de sites | Montando o display_news | Apresentação do projeto Análises Esportivas | Processo de criação do projeto | Limitações da biblioteca Requests | Uso da biblioteca Selenium | Utilizando a API do Sofascore | Utilizando a API do Sofascore – Parte 2 | Construindo o DataFrame | Construindo o Gráfico","Recomendado concluir módulos anteriores da trilha 'Python Office: Automações com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"53","Trading Quantitativo","Algotrading","2h 52min","Python","não encontrado","Aprenda a automatizar suas estratégias de trading usando Python.","Introdução ao Algotrading | Operação com API do MetaTrader5 via Python | Construção de um visualizador de dados | Projeção de estratégia | Otimização de performance do backtest | Debug da estratégia e avaliação do resultado | Arquitetura e construção de um algoritmo de trading","não encontrado","4.8","Introdução ao Algotrading | Operando no MetaTrader5 | Utilizando a API de Python do MetaTrader5 | Obtendo histórico de operações no MetaTrader5 | Enviando ordens a mercado com Python | Enviando ordens limitadas com Python | Quiz 1: Fundamentos do MetaTrader5 e Python | Apresentação – Algotrading Parte 2 | Construindo o visualizador de dados | Projetando a estratégia | Otimização da performance do Backtest | Debugging da estratégia e avaliação de resultado | Arquitetura do algoritmo de trading | Construindo a classe de algotrading – Parte 1 | Quiz 2: Arquitetura e Backtesting | Construindo a classe de algotrading – Parte 2 | Algoritmo final de trading – Parte 1 | Algoritmo final de trading – Parte 2 | Quiz 3: Implementação e Algoritmo Final | Teste Final: Algotrading Completo","Recomendado concluir módulos anteriores da trilha 'Trading Quantitativo' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"54","Visão Computacional com Python","Introdução à Biblioteca Numpy","3h 48min","Python","NumPy","Conheça a biblioteca NumPy - a espinha dorsal da análise de dados em Python - e entenda como utilizá-la neste curso introdutório.","O que é NumPy e sua importância | Manipulação eficiente de arrays multidimensionais | Conceitos básicos de álgebra linear | Operações matemáticas avançadas com NumPy | Indexação avançada | Mini projetos práticos | Projeto: usando convolução para gerar blur em imagens","Introdução | O que é Numpy? | Por que Numpy? | Dimensões e Tipos de Dados | Manipulações e Atribuição de Valores | Álgebra e Desafio Intermediário | Resolução do Desafio | Quiz 1 – NumPy Básico | Matemática Intermediária e Cópias | Estatística Básica | Reorganizações e Stacks | Advanced Indexing – Boolean Masking | Desafio Final | Miniprojeto: Caça ao Tesouro | Miniprojeto: Jogo da Velha | Quiz 2 – NumPy Avançado | Conceitos e Objetivos | Como filtros funcionam – Kernels e convolução | Estrutura Inicial – Bibliotecas | A matriz como imagem tridimensional | Criando os Kernels | Finalizando a Interpretação de Kernels | Introdução ao Live Blur | Abrindo a nossa Câmera | Função geradora de Kernels | Kernel Stacking | Implementando o Live Blur! | Teste Final – NumPy Completo","4.8","Introdução | O que é Numpy? | Por que Numpy? | Dimensões e Tipos de Dados | Manipulações e Atribuição de Valores | Álgebra e Desafio Intermediário | Resolução do Desafio | Quiz 1 – NumPy Básico | Matemática Intermediária e Cópias | Estatística Básica | Reorganizações e Stacks | Advanced Indexing – Boolean Masking | Desafio Final | Miniprojeto: Caça ao Tesouro | Miniprojeto: Jogo da Velha | Quiz 2 – NumPy Avançado | Conceitos e Objetivos | Como filtros funcionam – Kernels e convolução | Estrutura Inicial – Bibliotecas | A matriz como imagem tridimensional | Criando os Kernels | Finalizando a Interpretação de Kernels | Introdução ao Live Blur | Abrindo a nossa Câmera | Função geradora de Kernels | Kernel Stacking | Implementando o Live Blur! | Teste Final – NumPy Completo","Nenhum - curso introdutório / onboarding","Avaliação interna alta, conteúdo consolidado."
"55","Visão Computacional com Python","Visão Computacional com OpenCV","4h 18min","Python","OpenCV","Descubra conceitos e aplicações de visão computacional com a biblioteca OpenCV em Python.","Leitura e processamento de imagens, vídeos e webcam | Transformações geométricas e filtragem de imagens | Detecção de contornos | Transformações em canais de cor | Técnicas avançadas: blur, operações bitwise, masks, thresholding | Projeto: Tracking de mão em tempo real","não encontrado","4.9","O que é OpenCV | Lendo Imagens | Lendo Vídeos | Lendo a nossa câmera | Rescaling e Resizing | Funções Essenciais | Desenhando e Escrevendo | Detecção de Contornos | Color Spaces | Image Transformations | Color Channels | Técnicas de Blur | Bitwise Operations | Masking | Histogramas de Cor | Thresholding | Advanced Edge Detection | Hand Tracking | Inicializando testes profissionais | Identificando as mãos | Coordenadas Específicas | Teste de Classe e FPS","Recomendado concluir módulos anteriores da trilha 'Visão Computacional com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"56","não encontrado","LLMs alternativas: de modelos locais aos principais provedores do mundo","3h 38min","Python","Anthropic","Ollama, Groq, Gemini, Mistral, Claude… Aprenda a usar as melhores IAs com Python, incluindo IAs gratuitas rodando no seu PC!","Utilizar HuggingFace para gerar textos | Instalar e usar Ollama no PC | Gerar textos e transcrever áudio com Groq | Explorar Google Gemini para geração de textos | Usar Mistral AI localmente e online | Utilizar a Anthropic Claude com Python | Trabalhar com Cohere para textos diversos | Integrar todas estas IAs com LangChain","não encontrado","4.8","Apresentação curso – Explorando IAs de Geração de Texto | Gerando texto com HuggingFace e Python | Gerando texto com HuggingFace e LangChain | Instalando Ollama e gerando texto com Ollama e Python | Gerando texto com Ollama e LangChain | Quiz – 1 | Gerando texto e transcrevendo audio com Groq e Python | Gerando texto com Groq e LangChain | Gerando texto com OpenAI e Python | Gerando texto com OpenAI e LangChain | Quiz – 2 | Gerando texto com Google Gemini e Python | Gerando texto com Google Gemini e LangChain | Gerando texto com Mistral AI e Python | Gerando texto com Mistral AI e LangChain | Quiz – 3 | Gerando texto com Anthropic Claude e Python | Gerando texto com Anthropic Claude e LangChain | Gerando texto com Cohere e Python | Gerando texto com Cohere e LangChain | Finalização curso – Explorando IAs de Geração de Texto | Quiz – 4 | Teste Final","Não informado na página - verificar ementa","Avaliação interna alta, conteúdo consolidado."
"57","não encontrado","MCPs na prática: conectando sua IA a qualquer ferramenta em Python","2h 9min","Python","Cursor, MCP","Aprenda a criar servidores MCP com Python e conecte agentes de IA a qualquer ferramenta local ou remota!","O conceito central e a arquitetura dos MCPs | Como aplicações de IA acessam ferramentas externas | Criar servidores MCP locais e remotos com Python | Usar a biblioteca FastMCP na criação de ferramentas personalizadas | Construir e testar clientes MCP simples | Conectar MCPs a clientes como Claude Desktop e CursorAI | Criar um MCP de previsão do tempo integrado a múltiplos clientes | Enriquecer suas tools com type hints e docstrings para melhorar a integração","Introdução ao curso – MCPs na prática | Como uma aplicação IA funciona? | Agents e Tools – como uma aplicação IA acessa ferramentas | Como criar Tools customizados | Modelo Context Protocol – como os MCPs padronizam o uso de Tools | Criando um servidor MCP local | Criando um servidor MCP remoto | Miniprojeto – seu primeiro cliente de MCP para busca na Wikipedia | O que de fato define um cliente de MCP? | Explorando clientes de MCP | Conectando seu próprio MCP ao Claude Desktop | Conectando MCPs externos ao Claude Desktop | Conectando MCPs com CursorAI | Miniprojeto – criando um MCP de previsão do tempo | Integrando o MCP de previsão do tempo com todos os clientes | Fornecendo mais contexto aos seus tools | Outros conceitos de MCPs | Encerramento – MCPs na prática","4.9","Introdução ao curso – MCPs na prática | Como uma aplicação IA funciona? | Agents e Tools – como uma aplicação IA acessa ferramentas | Como criar Tools customizados | Modelo Context Protocol – como os MCPs padronizam o uso de Tools | Criando um servidor MCP local | Criando um servidor MCP remoto | Miniprojeto – seu primeiro cliente de MCP para busca na Wikipedia | O que de fato define um cliente de MCP? | Explorando clientes de MCP | Conectando seu próprio MCP ao Claude Desktop | Conectando MCPs externos ao Claude Desktop | Conectando MCPs com CursorAI | Miniprojeto – criando um MCP de previsão do tempo | Integrando o MCP de previsão do tempo com todos os clientes | Fornecendo mais contexto aos seus tools | Outros conceitos de MCPs | Encerramento – MCPs na prática","Não informado na página - verificar ementa","Avaliação interna alta, conteúdo consolidado."
"58","não encontrado","Introdução à Inteligência Artificial","1h 23min","Python","não encontrado","Entenda o que de fato é inteligência artificial e descubra todo o potencial que existe ao combiná-la com Python!","Fundamentos da inteligência artificial. | Aplicações práticas de Python e IA. | Como algoritmos e Machine Learning funcionam. | Diferentes tipos de inteligência artificial. | Estrutura e funcionamento do Perceptron. | Conceitos básicos sobre Redes Neurais. | Visão geral das Linguagens de Modelos de Aprendizado. | Perspectivas futuras da IA com tecnologias como GPT.","não encontrado","4.9","A trilha mais importante que já desenvolvemos | Quem é você? Usuário, Engenheiro ou Desenvolvedor? | Porque Python + AI? O que você será capaz de fazer? | Como a trilha está organizada? | Quiz – Conceitos de IA | Apresentação do módulo | Como computadores resolvem problemas? Algoritmo x Machine Learning | Tipos de IAs | Quiz – Visão geral sobre IA | O Perceptron | Uma visão geral sobre Redes Neurais | LLMs, GPT e o futuro | Quiz – Redes neurais e Deep Learning | Teste final – Introdução à inteligência artificial","Nenhum - curso introdutório / onboarding","Curso muito popular e bem avaliado, aposta segura."
"59","não encontrado","Python para IA: do zero ao primeiro chatbot","4h 11min","Python","LangChain, RAG","Aprenda a programar com Python e explore a inteligência artificial! Crie um chatbot prático que interage com seus próprios dados. Comece agora!","Construir hábitos de aprendizado eficazes | Técnicas para superar a procrastinação | Fundamentos de programação com Python | Interagir com dados de diferentes fontes | Criar um ChatBot funcional e interativo | Manipular e armazenar informações com listas e dicionários | Utilizar bibliotecas para expandir funcionalidades | Acessar e integrar dados de sites e vídeos | Estruturar e finalizar seu projeto de IA | Explorar oportunidades futuras em programação e IA","Bem-vindo! | Ensino baseado em projetos | Para quem é este curso? | Por que “aprender a aprender”? | O que, como e por quê? | Como nosso cérebro aprende? | Hábitos e procrastinação | As principais técnicas de aprendizado | Como aprender a programar? | Apresentação do projeto | Interagindo com o usuário – Variáveis e tipos de dados | Iterações repetidas – Loops e condicionais | Armazenando interações – Listas, dicionários e funções | Aumentando o poder do seu script com bibliotecas | Utilizando LangChain para acessar o Llama 3 | Criando seu primeiro ChatBot | Dando accesso a sites para o nosso bot | Acessando vídeos de Youtube e PDFs | Criando a estrutura final do nosso ChatBot | Finalizando o projeto | O que fazer agora?","4.9","Bem-vindo! | Ensino baseado em projetos | Para quem é este curso? | Por que “aprender a aprender”? | O que, como e por quê? | Como nosso cérebro aprende? | Hábitos e procrastinação | As principais técnicas de aprendizado | Como aprender a programar? | Apresentação do projeto | Interagindo com o usuário – Variáveis e tipos de dados | Iterações repetidas – Loops e condicionais | Armazenando interações – Listas, dicionários e funções | Aumentando o poder do seu script com bibliotecas | Utilizando LangChain para acessar o Llama 3 | Criando seu primeiro ChatBot | Dando accesso a sites para o nosso bot | Acessando vídeos de Youtube e PDFs | Criando a estrutura final do nosso ChatBot | Finalizando o projeto | O que fazer agora?","Não informado na página - verificar ementa","Curso muito popular e bem avaliado, aposta segura."
"60","não encontrado","Criando seu primeiro Agente de IA em uma hora","1 min","n8n (No-Code/Low-Code)","n8n","Aprenda a criar um agente de inteligência artificial que atua como seu assistente pessoal, checando seus e-mails e agenda - e SEM programar!","Preparar o ambiente e entender os blocos essenciais do n8n (gatilhos, nós, condições, variáveis) | Integrar um modelo de IA para interpretar pedidos e gerar respostas claras | Ligar o agente a ferramentas do dia a dia | Conectar um canal de chat para conversar com o agente | Tratar erros e exceções, registrar logs e fazer testes rápidos","não encontrado","5","Criando seu primeiro Agente de IA em uma hora","Não informado na página - verificar ementa","Avaliação interna alta, conteúdo consolidado."
"61","não encontrado","Python para iniciantes: do zero ao primeiro projeto","2h 13min","Python","Dash","Aprenda sobre variáveis, loops e funções e crie seu primeiro projeto Python em apenas 2 horas!","Conceitos básicos de programação Python | Tipos de dado em Python: textos, números e listas | Valores booleanos em Python e operadores de comparação | Condicionais em Python: if, elif e else | Loops em Python: for loops | Criação de um web app em Python do zero | Bibliotecas de Python: Pandas, Plotly e Streamlit | Seu primeiro projeto em duas horas!","Boas vindas | Estrutura do curso | Quem deveria fazer este curso | O que é uma linguagem de programação | Instalando o Mu | Hello World, números e REPL | Strings e Variáveis | Formatação em Strings, Listas e Slicing | Booleanos e Operadores de Comparação | If, Elif e Else | For | Como montaremos nosso aplicativo web | Executando o primeiro app Streamlit | Carregando os dados no Pandas | Criando o primeiro componente | Construindo os gráficos | Finalizando o projeto","4.8","Boas vindas | Estrutura do curso | Quem deveria fazer este curso | O que é uma linguagem de programação | Instalando o Mu | Hello World, números e REPL | Strings e Variáveis | Formatação em Strings, Listas e Slicing | Booleanos e Operadores de Comparação | If, Elif e Else | For | Como montaremos nosso aplicativo web | Executando o primeiro app Streamlit | Carregando os dados no Pandas | Criando o primeiro componente | Construindo os gráficos | Finalizando o projeto","ou experiência prévia.","Curso muito popular e bem avaliado, aposta segura."
"62","Trading Quantitativo","Fundamentos de Trading Quantitativo","2h 49min","Python","Pandas","Conheça o manual completo da Asimov para dominar a análise quantitativa usando programação e data science no mercado financeiro.","Introdução ao Trading Quantitativo | Conceitos fundamentais de mercado financeiro: instrumentos financeiros, dinâmica de preços e livro de ofertas | Introdução à estratégia de investimento | Análise fundamentalista versus análise técnica | Estratégias sistemáticas e estratégias discricionárias | Introdução à probabilidade e estatística","não encontrado","4.8","Apresentação do curso Trading Quantitativo | O que você será capaz de fazer com a trilha | Como o curso está formatado | O que é e para que serve o mercado financeiro | Instrumentos financeiros | Dinâmica de preços e livro de ofertas | Quiz 1 – Trading Quantitativo e Mercado Financeiro | O que é uma estratégia de investimento | Análise fundamentalista x análise técnica | Análise quant | Estratégias sistemáticas x discricionárias | Método científico | Fluxo de desenvolvimento de estratégias | Quiz 2 – Estratégias de Investimento e Método Científico | Introdução a probabilidade e estatística | Processos aleatórios e probabilidade | Lei dos grandes números | Distribuição de probabilidades | Independência de eventos e probabilidade condicional | Quiz 3 – Probabilidade e Estatística | Esperança de um processo aleatório | Variância | A curva de distribuição Gaussiana | Propriedades de uma distribuição Gaussiana | Outros modelos de distribuição | Teste Final – Trading Quantitativo","Recomendado concluir módulos anteriores da trilha 'Trading Quantitativo' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"63","Webdesign com IA","Construindo sites estáticos de alto nível com IA","2h 3min","JavaScript/TypeScript (Astro, GSAP)","Cursor, Antigravity","Transforme conceitos visuais em sites reais e funcionais em tempo recorde, utilizando IAs generativas para escrever, estruturar e publicar código estático.","Workflow de Desenvolvimento com IA: Como configurar e utilizar o Cursor e o IDX/Antigravity para criar projetos do zero. | Execução de Landing Pages: O passo a passo para sair de um arquivo em branco até um site completo com visual de ""startup gringa"" em poucas horas. | Uso de Modelos de Elite: Quando utilizar Claude 3.5 Sonnet, GPT-4o ou Gemini 1.5 Pro para diferentes tarefas de codificação. | Componentização e Reuso: Como instruir a IA a criar blocos de código (seções, botões, menus) que podem ser facilmente replicados e ajustados. | Integração de Design Systems: Como aplicar o ""Prompt de Mil Dólares"" para que a IA respeite identidades visuais extraídas de referências reais. | Publicação e Deploy: Conceitos básicos de como colocar seu site estático no ar de forma rápida e eficiente.","Que site vamos construir? | Quais ferramentas? | HTML, CSS e JS (e a lógica da Web) | Os 3 princípios fundamentais | Git | Criando o nosso vídeo com Whisk e Google Flow | Criando DSs | Criando a primeira dobra a partir do DS | Criando o restante do site | Explorando estratégias alternativas | Como adicionar interfaces personalizadas ao WordPress | Preparando o projeto para o Deploy | Compartilhando o site com o mundo | Criando um domínio personalizado (e como atualizá-lo)","4.9","Que site vamos construir? | Quais ferramentas? | HTML, CSS e JS (e a lógica da Web) | Os 3 princípios fundamentais | Git | Criando o nosso vídeo com Whisk e Google Flow | Criando DSs | Criando a primeira dobra a partir do DS | Criando o restante do site | Explorando estratégias alternativas | Como adicionar interfaces personalizadas ao WordPress | Preparando o projeto para o Deploy | Compartilhando o site com o mundo | Criando um domínio personalizado (e como atualizá-lo)","Recomendado concluir módulos anteriores da trilha 'Webdesign com IA' ou ter base em JavaScript/TypeScript (Astro, GSAP)","Avaliação interna alta, conteúdo consolidado."
"64","Análise de Dados com Python","Visualização de Dados Avançada com Seaborn","46min","Python","Seaborn","Crie visualizações informativas de dados com Seaborn.","Introdução ao Seaborn e visualização de dados | Criação de gráficos personalizados | Exploração de dados categóricos | Revelando padrões com gráficos especiais | Análise matricial e heatmaps | Estilização e comunicação eficaz com gráficos","não encontrado","4.8","Introdução ao Seaborn | Plots de distribuição | Plots categóricos | Plots de regressão | Quiz – Criação de gráficos avançada | Plots Matriciais | Estilização | Teste final – Visualização de Dados com Seaborn","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"65","Data Science & Machine Learning","Matemática para Análise de Dados","2h 35min","Python","não encontrado","Aprenda análise de dados com Python explorando conceitos matemáticos essenciais.","Exploração de funções básicas e sua aplicação na análise de dados | Compreensão de limites matemáticos e sua relevância | Aprofundamento no cálculo diferencial e suas aplicações na otimização | Estudo de derivadas parciais para análise de dados multidimensionais | Abordagem completa da álgebra linear, incluindo matrizes e vetores | Exploração de probabilidades e estatísticas para análise de dados | Análise de processos aleatórios e a Lei dos Grandes Números | Compreensão de distribuições de probabilidade e independência de eventos | Compreensão de distribuições de probabilidade e independência de eventos | Exploração de outros modelos de distribuição estatística","não encontrado","4.8","Introdução ao curso de matemática | Como o curso está dividido? | O que são funções? | Funções clássicas | Limites | O que são derivadas? | A definição matemática de derivadas | Aplicando derivadas | Derivadas para problemas de otimização | Derivadas parciais | Quiz 1 | Introdução à Álgebra Linear | O surgimento da Álgebra Linear | Matrizes e Vetores | Operações com matrizes | Transposição e inversão matricial | Quiz 2 | Introdução à probabilidade e estatística | Processos aleatórios e probabilidade | Lei dos grandes números | Distribuições de probabilidade | Independência de eventos e probabilidade condicional | Esperança de um processo aleatório | Variância | Curva de distribuição Gaussiana | Propriedades de uma distribuição gaussiana | Outros modelos de distribuição | Verossimilhança | Teste final","Recomendado concluir módulos anteriores da trilha 'Data Science & Machine Learning' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"66","Análise de Dados com Python","Visualização de Dados com Matplotlib","42min","Python","Matplotlib","Construa gráficos poderosos e customizáveis com a principal biblioteca de visualização de dados de Python.","Introdução ao matplotlib e seu poder na visualização de dados | Domínio da criação de subplots para comparações detalhadas | Personalização avançada de gráficos, incluindo ajuste de cores, estilos e legendas | Criação de gráficos 3D para representações visuais mais complexas | Criação de mapas de calor para visualizações de dados em 2D","não encontrado","4.7","Introdução ao Matplotlib | Funções básicas de plot | Quiz – Conceitos básicos de Matplotlib | Orientação a objetos no Matplotlib | Subplots | Customização | Plots Especiais | Quiz – Criando gráficos | Teste final – Visualização de Dados com Matplotlib","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Curso intermediário, bom para aprofundar e complementar trilha."
"67","Engenharia de Dados com Python","SQL na prática: domine bancos de dados PostgreSQL e pgAdmin","4h 4min","Python","RAG","Entenda como usar SQL — a principal linguagem de consulta em bancos de dados — e usá-la para interagir com bancos de dados PostgreSQL!","O que é uma base de dados | Criando uma base de dados PostgreSQL | Como instalar o pgAdmin e usá-lo para interagir com o banco | Inserindo e acessando dados | Consultas, filtros e operações booleanas | Palavras-chave LIKE, HAVING e GROUPBY | Joins de SQL","não encontrado","4.8","SQL além da sintaxe | O que é uma base de dados | Representação visual da db | Baixando PostgreSQL e pgAdmin | Possíveis problemas na instalação do pgAdmin | Quiz – Base de dados | Criando as tabelas na nossa base de dados | Inserindo os dados na nossa base | Quiz – Alimentando a base de dados | Acessando os Dados | Desafios de solicitação | Solução dos desafios | Novas Keywords de Filtro | Desafios AND, OR, COUNT e WHERE | Solução de Desafios – Parte 2 | Quiz – Acesso de dados | Um pouco mais sobre LIKE | Desafios LIKE, HAVING, GROUP BY | Solução dos Desafios – Parte 3 | Testando novas tabelas – Exploratória | Quiz – Acesso avançado | SQL Joins | Dados para teste de Joins | Aliases em SQL | Exercícios sobre Joins – Parte 1 | Resolução de Joins – Parte 1 | Exercícios sobre Joins – Parte 2 | Resolução de Joins – Parte 2 | Quiz – Joins e Aliases","Recomendado concluir módulos anteriores da trilha 'Engenharia de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"68","Análise de Dados com Python","Análise Exploratória de Dados","2h 51min","Python","Pandas, Python puro","Aprenda a explorar seus dados e extrair insights valiosos através de gráficos e técnicas essenciais para um cientista de dados.","O que é análise exploratória de dados | Dataset e seus valores | Gráficos: Boxplot, Histograma e Violino | Normalidade e outras métricas de dispersão | Correlação e gráficos de espalhamento | Cálculo de coeficientes de correlação | Modelos de regressão linear","não encontrado","4.8","O que é EDA? | Leitura dos dados | Entendendo a tabela | Explorando valores numéricos | Explorando valores categóricos | Quiz 1 – Introdução a EDA | Boxplot | Histograma | Comparando histogramas | Violinos | Normalidade e outras métricas de dispersão | Quiz 2 – Interpretação de gráficos | Correlação e gráficos de espalhamento | Correlação nos nossos dados | Correlação e distribuição | Cálculo de coeficientes de correlação | Modelos de regressão linear | Quiz 3 – Correlação e regressão linear | Teste Final – Contempla todo conteúdo","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
